clean,label
wibawa puji hadap manusia suka allah,0.0
apaapaanhadeh waswas ngerjain tibatiba enggak gelisah,1.0
kemane sadar nya,0.0
nyerah benar capek banget,0.0
pov istri orang,0.0
wasalak best,0.0
cda bbmpin toserdas putar kontak cp via info produk langsung,0.0
fergusso investasi terang mmm surat lurah tuntut rindu biar pandemi mudah,0.0
sembilukamu ella sendu,0.0
gelisahmbohlah resah,1.0
bbykwoh goodluck,0.0
lagibingung begadang benci gue cemas banget,1.0
puasa gakya batal gampang mikir mulu sedih bawa nang gue enggak takut kayak cemas banget,1.0
peluang buangbuang dibuangbuang kosong,0.0
bos posesif laku enggak takut,0.0
xiyeon siyeon bisikin tawarin lm orang,0.0
dreamies bangga habis enggak susah banget,0.0
takpe konfem europa qualify masihbada khamis asenel chelsea mintak fan game last season menang of the je sakit harap,0.0
cemas,1.0
sensasi drop au degan sedih pas lupa,0.0
putaqpariu,0.0
suwit gopay slot rep main ayo nih,0.0
joda eu es dek jyp lo,0.0
seungcheol gemas banget,0.0
numpuk serasa kagak gin tenang bangun tau enggak hati pikir tidur banget gelisah,1.0
yakan kaliaja sendal ajak entar lebaran bersih jalan pas,0.0
chata eh,0.0
anting fatimah pakai bilang cowok,0.0
matkul libur plis moga,0.0
guys,0.0
untu loro manis buka setia bikin,0.0
jomblo authornya ngewe tt pacar au orang bikin enggak susah astaga,0.0
tetek progressnya bengek respon dosen lapor kuliah tugas ngerjain sibuk hidup bilang,0.0
sambattt ngefollow akun takut,0.0
sakura sepenuh sasuke cinta sesal bahagia sumpah hidup tinggal hati,0.0
thesis sorryy twitterso everyone yon pastu kat korang aktif sedih,0.0
buisness yeay card nak sabar,0.0
nak,0.0
spekulasi takut cemas,1.0
hina balas senyum maaf,0.0
cerna comeback hp bentar buka gue,0.0
tms twibbon birthday yoshi makasihh tum,0.0
shah raline cantik,0.0
album isi pengin nih nyanyi patah enggak hati,0.0
ngotot capek omong orang salah banget,0.0
warota,0.0
jajaaan katalog leot lm gemas drop,0.0
ulet latah,0.0
taeil dreamies wkwkwk aduh degdegan gue banget,0.0
diskusi masuk of guys out baca enggak,0.0
pergi tidur gelisah,1.0
bobok untung mimpi indah malam,0.0
dulusemoga simpan,0.0
biasabiasa enough not bagus good besok is,0.0
jaywon tolongin nangisin aduh anjir gue,0.0
